epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.281,1.75921,4.14845,1.58357,0.00641,0.77831,0.14207,0.06118,1.5886,3.61953,1.28028,0.00020763,0.00020763,0.00020763
2,32.7414,1.55161,3.04802,1.37522,0.71597,0.10772,0.25826,0.14511,1.42292,2.98643,1.24083,0.000414576,0.000414576,0.000414576
3,46.4674,1.5149,2.47406,1.36649,0.5692,0.31467,0.46632,0.2872,1.34651,2.61449,1.23978,0.000612995,0.000612995,0.000612995
4,56.7379,1.43408,2.22109,1.35932,0.44097,0.35967,0.44231,0.25412,1.44895,2.36485,1.41108,0.000723321,0.000723321,0.000723321
5,69.4818,1.45986,2.13409,1.3651,0.58437,0.64033,0.68849,0.41517,1.3017,1.7282,1.23816,0.000708095,0.000708095,0.000708095
6,82.9316,1.38942,1.93384,1.31953,0.64401,0.57439,0.6182,0.40096,1.31844,1.84771,1.24323,0.000692869,0.000692869,0.000692869
7,93.0156,1.37105,1.80313,1.29763,0.66354,0.73126,0.76199,0.51313,1.22862,1.53711,1.17274,0.000677643,0.000677643,0.000677643
8,106.49,1.34855,1.71485,1.28524,0.61647,0.7038,0.64619,0.44952,1.21145,1.7712,1.19576,0.000662417,0.000662417,0.000662417
9,119.97,1.34286,1.65193,1.28382,0.8464,0.6531,0.75982,0.5312,1.1882,1.59249,1.15175,0.00064719,0.00064719,0.00064719
10,130.548,1.25139,1.57044,1.24969,0.78255,0.66643,0.80338,0.55645,1.17436,1.40867,1.16061,0.000631964,0.000631964,0.000631964
11,143.188,1.25125,1.5013,1.23878,0.79245,0.7825,0.84973,0.5934,1.09093,1.1723,1.13402,0.000616738,0.000616738,0.000616738
12,156.719,1.23152,1.4556,1.22258,0.82381,0.73232,0.85497,0.59462,1.08046,1.23855,1.12637,0.000601512,0.000601512,0.000601512
13,167.123,1.19595,1.39214,1.19623,0.7864,0.88518,0.90115,0.65863,0.99637,0.97817,1.08025,0.000586286,0.000586286,0.000586286
14,179.28,1.19281,1.359,1.20183,0.86559,0.82024,0.90472,0.65825,0.97049,0.98214,1.0867,0.000571059,0.000571059,0.000571059
15,192.074,1.18114,1.30818,1.1984,0.82052,0.88254,0.89589,0.65,1.08356,0.89802,1.09523,0.000555833,0.000555833,0.000555833
16,204.036,1.13926,1.20064,1.15351,0.80185,0.89723,0.92665,0.65857,1.09235,0.92423,1.08075,0.000540607,0.000540607,0.000540607
17,215.394,1.13186,1.26725,1.16958,0.89977,0.86106,0.9366,0.69995,0.97502,0.87987,1.05924,0.000525381,0.000525381,0.000525381
18,228.562,1.14062,1.21283,1.16973,0.86881,0.86713,0.91131,0.66246,1.01036,1.02748,1.06907,0.000510155,0.000510155,0.000510155
19,240.82,1.1171,1.16201,1.16351,0.83658,0.90473,0.9354,0.70878,0.93376,0.76153,1.04513,0.000494928,0.000494928,0.000494928
20,252.23,1.09872,1.14911,1.158,0.81581,0.86324,0.92052,0.69057,1.02699,0.84736,1.08513,0.000479702,0.000479702,0.000479702
21,265.65,1.11053,1.1253,1.145,0.86161,0.9233,0.93074,0.70681,0.95023,0.81671,1.04358,0.000464476,0.000464476,0.000464476
22,277.483,1.07936,1.06974,1.12909,0.89305,0.9046,0.93738,0.71551,0.96492,0.71912,1.06965,0.00044925,0.00044925,0.00044925
23,289.19,1.08159,1.06776,1.15021,0.94504,0.85101,0.95296,0.73277,0.95556,0.73933,1.0281,0.000434024,0.000434024,0.000434024
24,302.377,1.06984,1.04368,1.11595,0.83554,0.87788,0.92425,0.70081,0.91701,0.78031,1.01436,0.000418797,0.000418797,0.000418797
25,315.815,1.07556,1.0214,1.1094,0.9196,0.89833,0.93409,0.7192,0.90412,0.73085,1.02707,0.000403571,0.000403571,0.000403571
26,326.146,1.05496,0.99878,1.12174,0.89199,0.93596,0.95753,0.73497,0.92022,0.68774,1.02515,0.000388345,0.000388345,0.000388345
27,339.309,1.03332,0.9684,1.10765,0.85696,0.91126,0.94696,0.7188,0.93491,0.72131,1.02979,0.000373119,0.000373119,0.000373119
28,352.523,1.036,0.98907,1.10652,0.91189,0.92862,0.95194,0.73062,0.91876,0.72354,1.01777,0.000357893,0.000357893,0.000357893
29,362.788,1.03023,0.97177,1.12294,0.94033,0.90096,0.95942,0.7446,0.8553,0.66519,0.9891,0.000342666,0.000342666,0.000342666
30,376.239,1.02521,0.95558,1.11829,0.95477,0.875,0.96474,0.73042,0.92553,0.68895,1.02586,0.00032744,0.00032744,0.00032744
31,389.363,1.01342,0.94007,1.10463,0.86934,0.94621,0.95958,0.73595,0.8831,0.65312,1.00556,0.000312214,0.000312214,0.000312214
32,400.157,1.00998,0.90302,1.08252,0.94448,0.9066,0.96231,0.74344,0.87887,0.63878,0.99143,0.000296988,0.000296988,0.000296988
33,412.731,1.01511,0.89666,1.09954,0.9208,0.92702,0.96132,0.74332,0.82521,0.619,0.97692,0.000281762,0.000281762,0.000281762
34,426.268,1.00567,0.89154,1.10546,0.91352,0.93877,0.9629,0.75894,0.83597,0.64063,0.97389,0.000266535,0.000266535,0.000266535
35,437.712,0.96922,0.84657,1.06335,0.94354,0.89401,0.95901,0.74595,0.83373,0.6192,0.97566,0.000251309,0.000251309,0.000251309
